"","geo_code1","geo_code2","all","from_home","light_rail","train","bus","taxi","motorbike","car_driver","car_passenger","bicycle","foot","other","geo_name1","geo_name2","la_1","la_2"
"124","E02002331","E02002367",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 002","Leeds 038","Leeds","Leeds"
"125","E02002331","E02002368",2,0,0,0,0,0,0,1,0,0,1,0,"Leeds 002","Leeds 039","Leeds","Leeds"
"126","E02002331","E02002369",1,0,0,0,1,0,0,0,0,0,0,0,"Leeds 002","Leeds 040","Leeds","Leeds"
"127","E02002331","E02002370",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 002","Leeds 041","Leeds","Leeds"
"128","E02002331","E02002371",10,0,0,0,1,0,0,9,0,0,0,0,"Leeds 002","Leeds 042","Leeds","Leeds"
"129","E02002331","E02002373",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 002","Leeds 044","Leeds","Leeds"
"130","E02002331","E02002374",2,0,0,0,0,0,1,1,0,0,0,0,"Leeds 002","Leeds 045","Leeds","Leeds"
"131","E02002331","E02002376",3,0,0,0,0,0,0,2,0,0,1,0,"Leeds 002","Leeds 047","Leeds","Leeds"
"132","E02002331","E02002377",2,0,0,0,0,1,0,1,0,0,0,0,"Leeds 002","Leeds 048","Leeds","Leeds"
"133","E02002331","E02002379",4,0,0,0,1,0,0,3,0,0,0,0,"Leeds 002","Leeds 050","Leeds","Leeds"
"134","E02002331","E02002383",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 002","Leeds 054","Leeds","Leeds"
"135","E02002331","E02002384",11,0,0,0,1,0,0,9,1,0,0,0,"Leeds 002","Leeds 055","Leeds","Leeds"
"136","E02002331","E02002385",3,0,0,0,0,0,0,3,0,0,0,0,"Leeds 002","Leeds 056","Leeds","Leeds"
"137","E02002331","E02002386",8,0,0,0,0,0,0,8,0,0,0,0,"Leeds 002","Leeds 057","Leeds","Leeds"
"138","E02002331","E02002388",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 002","Leeds 059","Leeds","Leeds"
"139","E02002331","E02002390",5,0,0,0,0,0,0,5,0,0,0,0,"Leeds 002","Leeds 061","Leeds","Leeds"
"140","E02002331","E02002391",5,0,0,0,2,0,0,3,0,0,0,0,"Leeds 002","Leeds 062","Leeds","Leeds"
"141","E02002331","E02002392",13,0,0,0,2,0,0,9,1,1,0,0,"Leeds 002","Leeds 063","Leeds","Leeds"
"142","E02002331","E02002393",19,0,0,0,0,0,0,18,1,0,0,0,"Leeds 002","Leeds 064","Leeds","Leeds"
"143","E02002331","E02002394",3,0,0,0,1,0,0,2,0,0,0,0,"Leeds 002","Leeds 065","Leeds","Leeds"
"144","E02002331","E02002395",3,0,0,0,1,0,0,2,0,0,0,0,"Leeds 002","Leeds 066","Leeds","Leeds"
"145","E02002331","E02002396",4,0,0,0,0,0,0,3,0,0,1,0,"Leeds 002","Leeds 067","Leeds","Leeds"
"146","E02002331","E02002398",1,0,0,0,0,0,0,1,0,0,0,0,"Leeds 002","Leeds 069","Leeds","Leeds"
"147","E02002331","E02002399",5,0,0,0,0,0,1,3,0,0,1,0,"Leeds 002","Leeds 070","Leeds","Leeds"
"148","E02002331","E02002400",14,0,0,0,0,0,0,10,4,0,0,0,"Leeds 002","Leeds 071","Leeds","Leeds"
"149","E02002331","E02002402",11,0,0,0,0,0,0,11,0,0,0,0,"Leeds 002","Leeds 073","Leeds","Leeds"
"150","E02002331","E02002403",4,0,0,0,0,0,0,4,0,0,0,0,"Leeds 002","Leeds 074","Leeds","Leeds"
"151","E02002331","E02002404",6,0,0,0,0,0,0,4,0,0,2,0,"Leeds 002","Leeds 075","Leeds","Leeds"
"152","E02002331","E02002408",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 002","Leeds 079","Leeds","Leeds"
"153","E02002331","E02002410",2,0,0,0,0,0,0,2,0,0,0,0,"Leeds 002","Leeds 081","Leeds","Leeds"
"154","E02002331","E02002411",17,0,0,0,5,0,0,12,0,0,0,0,"Leeds 002","Leeds 082","Leeds","Leeds"
"155","E02002331","E02002412",5,0,0,0,0,0,0,5,0,0,0,0,"Leeds 002","Leeds 083","Leeds","Leeds"
